filename,title,url,one_word_with_numbers,type
230328-F-ZX177-1041.JPG,Women’s History Symposium: A spectrum of excellence,https://www.acc.af.mil/News/Art?igphoto=2003188700,False,Explicit heritage and DEI events
210120-F-XX000-0002.JPG,Unite Logo,https://www.acc.af.mil/News/Art?igphoto=2002743166,False,Other
241121-F-BE826-1022.JPG,Tyndall promotes change through Women's Initiatives Team,https://www.acc.af.mil/News/Art?igphoto=2003595871,False,Other
200812-F-UA265-1348.JPG,"Creech shares mission, hunger for evolution with SECAF",https://www.acc.af.mil/News/Art?igphoto=2002477266,False,Other
210120-F-XX000-0004.JPG,Air Force Unite Logo,https://www.acc.af.mil/News/Art?igphoto=2002845180,False,Other
200824-F-SF323-1001.JPG,"Leaders speak on diversity, inclusion",https://www.acc.af.mil/News/Art?igphoto=2002571697,False,Explicit heritage and DEI events
210915-F-DJ189-1004.JPG,Hispanic Heritage Month Showcase: Lieutenant General Elwood R. “Pete” Quesada,https://www.acc.af.mil/News/Art?igphoto=2002858775,False,Explicit heritage and DEI events
210915-F-DJ189-1001.JPG,"Hispanic Heritage Month Showcase: Maj. Manuel John Fernandez, Jr.",https://www.acc.af.mil/News/Art?igphoto=2002854622,False,Explicit heritage and DEI events
220421-F-SU785-0001.JPG,"Cultural Influence: The meaning behind the popular Filipino dish ""Adobo""",https://www.acc.af.mil/News/Art?igphoto=2002988792,False,Everyday celebrations of heritage or ethnicity
200504-F-ZZ999-1003.JPG,"Creech Airmen gather to share Pride, love, growth",https://www.acc.af.mil/News/Art?igphoto=2002348675,False,Everyday celebrations of heritage or ethnicity
210430-F-DR219-0001.PNG,“Unity in Diversity” - JBLE celebrates Asian/Pacific American Heritage Month,https://www.acc.af.mil/News/Art?igphoto=2002633925,False,Explicit heritage and DEI events
210122-F-HP405-1109.JPG,Team 432 reinvigorates Diversity & Inclusion Council,https://www.acc.af.mil/News/Art?igphoto=2002576762,False,Explicit heritage and DEI events
240312-F-UU298-002.JPG,AFTAC hosts Student Expo in conjunction with WiSE Symposium,https://www.acc.af.mil/News/Art?igphoto=2003428780,False,Other
210204-F-GU004-1001.JPG,A Tuskegee Airman’s Past Meets Our Present and Our Future,https://www.acc.af.mil/News/Art?igphoto=2002584657,False,Mentions of personnel that highlight their ethnicity
240501-F-NN513-1096.JPG,ACC hosts first Athena Parthenon,https://www.acc.af.mil/News/Art?igphoto=2003471639,False,Other
220915-F-FH087-1002.JPG,Hispanic Heritage E-3 flight,https://www.acc.af.mil/News/Art?igphoto=2003080898,False,Explicit heritage and DEI events
210916-F-LD599-1195.JPG,Seymour Johnson Airman’s heritage fortifies service,https://www.acc.af.mil/News/Art?igphoto=2002862121,False,Everyday celebrations of heritage or ethnicity
231201-F-QO967-1054.JPG,Embracing Native American Culture,https://www.acc.af.mil/News/Art?igphoto=2003352606,False,Everyday celebrations of heritage or ethnicity
191011-F-WW878-1012.JPG,Ballet Folklorico: an Airman’s culture expressed through dance,https://www.acc.af.mil/News/Art?igphoto=2002195384,False,Everyday celebrations of heritage or ethnicity
220216-F-XX000-1001.PNG,"Untold Stories, Open Doors- 1FW Black History Month",https://www.acc.af.mil/News/Art?igphoto=2002940209,False,Explicit heritage and DEI events
240105-F-JS667-3001.JPG,"Language-Enabled Airmen bridge cultures, elevate missions",https://www.acc.af.mil/News/Art?igphoto=2003370032,False,Other
201022-F-HP405-1200.JPG,ACC leaders set tone for Team 432,https://www.acc.af.mil/News/Art?igphoto=2002524192,False,Other
220921-F-ZX177-1001.JPG,Thinking Large about Hispanic Heritage Month,https://www.acc.af.mil/News/Art?igphoto=2003084186,False,Explicit heritage and DEI events
210521-F-F3335-0002.JPG,AAPI Month: SJAFB Airman celebrates U.S. citizenship,https://www.acc.af.mil/News/Art?igphoto=2002729920,False,Explicit heritage and DEI events
200924-F-HE612-1061.JPG,"SECAF explores MHAFB's unique capabilities, partnerships",https://www.acc.af.mil/News/Art?igphoto=2002508715,False,Other
230322-F-AJ823-1006.JPG,A flare for science,https://www.acc.af.mil/News/Art?igphoto=2003185132,False,Other
200814-F-EA289-0040.JPG,Gen. Holmes gifts heraldic device to ACC,https://www.acc.af.mil/News/Art?igphoto=2002482137,False,Other
180308-F-EY492-082.JPG,"US, Salvadoran Airmen share night vision knowledge",https://www.12af.acc.af.mil/News/Art?igphoto=2001890635,False,Other
130315-F-AG578-011.JPG,Poetry reading,https://www.moody.af.mil/News/Art?igphoto=2000064542,False,Other
081015-F-8832G-013.JPG,Heritage hugs,https://www.moody.af.mil/News/Art?igphoto=2000669865,False,Other
081015-F-8832G-005.JPG,Hispanic Heritage Breakfast,https://www.moody.af.mil/News/Art?igphoto=2000669866,False,Explicit heritage and DEI events
140509-F-UX155-009.JPG,Head start,https://www.moody.af.mil/News/Art?igphoto=2000852217,False,Other
150306-F-NI493-124.JPG,Throw your hands up,https://www.moody.af.mil/News/Art?igphoto=2001020492,False,Other
130222-F-AG578-015.JPG,Master of ceremony,https://www.moody.af.mil/News/Art?igphoto=2000073226,False,Other
110919-F-QF982-088.JPG,Half-way there,https://www.moody.af.mil/News/Art?igphoto=2000217338,False,Other
100226-F-8832G-004.JPG,Important statement,https://www.moody.af.mil/News/Art?igphoto=2000390421,False,Other
140328-F-UX155-159.JPG,Stream of paint,https://www.moody.af.mil/News/Art?igphoto=2000864428,False,Other
150306-F-NI493-002.JPG,Bags,https://www.moody.af.mil/News/Art?igphoto=2001020499,False,Other
150612-F-LR076-046.JPG,Cheers,https://www.moody.af.mil/News/Art?igphoto=2001077887,False,Other
111013-F-DR541-034.JPG,Pico de gallo,https://www.moody.af.mil/News/Art?igphoto=2000209839,False,Everyday celebrations of heritage or ethnicity
090226-F-9562B-017.JPG,African Americans throughout history,https://www.moody.af.mil/News/Art?igphoto=2000617371,False,Facts of history that relate to a specific ethnic group
