filename,title,url,one_word_with_numbers,type
150326-M-MC000-002.JPG,A story to tell: MCSC celebrates Women's History Month,https://www.marines.mil/photos?igphoto=2001033373,False,Explicit heritage and DEI events
150331-M-AS279-026.JPG,MCAS Iwakuni hosts Women's Leadership Symposium,https://www.mcasiwakuni.marines.mil/iwakuninews/photogallery?igphoto=2001033963,False,Other
150320-M-QA203-002.JPG,"Women's History Month, highlighting female aviator's dedication to the Corps",https://www.mcasiwakuni.marines.mil/iwakuninews/photogallery?igphoto=2001026631,False,Explicit heritage and DEI events
140321-M-AS279-050.JPG,Women's Leadership Symposium inspires younger generation,https://www.mcasiwakuni.marines.mil/iwakuninews/photogallery?igphoto=2000786927,False,Other
230317-M-FO238-1125.JPG,Women's History Month: Decades of Growth event hosted at the Clubs of Quantico,https://www.quantico.marines.mil/news/photos?igphoto=2003184580,False,Explicit heritage and DEI events
140224-M-ML009-038.JPG,Respecting slaves' value at Mount Vernon,https://www.quantico.marines.mil/news/photos?igphoto=2000781759,False,Facts of history that relate to a specific ethnic group
130305-O-UZ252-006.JPG,Marines get a laugh and a lesson out of ‘Sex Signals',https://www.quantico.marines.mil/news/photos?igphoto=2000010604,False,Other
130327-O-UZ252-001.JPG,"Ignore statistics, follow passions, says Women's History Month speaker",https://www.quantico.marines.mil/news/photos?igphoto=2000013100,False,Explicit heritage and DEI events
230327-M-QU139-1925.JPG,U.S. Marines on MCAGCC are recognized for Women's History Month,https://www.29palms.marines.mil/news/photos?igphoto=2003198023,False,Explicit heritage and DEI events
130310-M-XW818-113.JPG,Women's History Month: Anisia rios,https://www.29palms.marines.mil/news/photos?igphoto=2000012138,False,Explicit heritage and DEI events
150401-M-XX999-095.JPG,Women's leadership symposium discusses gender equality in the Corps,https://www.imef.marines.mil/photos?igphoto=2001033729,False,Other
130508-M-XX999-042.JPG,"First Lt. David Pham, executive officer, Company C, 1st Battalion, 8th Marines, and a native of Savannah, Ga., will be featured in Marine Corps Recruiting Command's Asian-Pacific American Heritage Month advertising campaign, ‘A Warriors' Education,' scheduled to be released on May 8. Pham, an infantry officer and decorated combat veteran, is one of two 2nd Marine Division officers to be featured in the campaign.",https://www.mcrc.marines.mil/home/photos?igphoto=2000019603,False,Explicit heritage and DEI events
130430-M-PE262-003.JPG,"First Lt. Oliver David, public affairs officer, 2nd Marine Division, and a native of Long Beach, Calif., is one of two Marine officers whose unique story will be shared when Marine Corps Recruiting Command releases its newest advertising campaign, ‘A Warriors' Education,' May 8. The campaign will draw attention to the contributions made by Asian-American Marines, past and present, during Asian-Pacific American Heritage Month.",https://www.mcrc.marines.mil/home/photos?igphoto=2000019602,False,Explicit heritage and DEI events
130312-M-TH981-006.JPG,Breaking Barriers: Women's role in Marine Corps expanded from World War I to today,https://www.mcbhawaii.marines.mil/news/photosarchive?igphoto=2000011745,False,Everyday celebrations of heritage or ethnicity
190319-M-PQ554-0007.JPG,MCLB Albany celebrates Women's History Month,https://www.albany.marines.mil/photos?igphoto=2002103322,False,Explicit heritage and DEI events
130227-M-ZZ999-512.JPG,Base observes Women's History Month,https://www.albany.marines.mil/photos?igphoto=2000011495,False,Explicit heritage and DEI events
160224-M-ZZ999-336.JPG,Women Making History: Area physician ‘gives back' to rural community,https://www.albany.marines.mil/photos?igphoto=2001480605,False,Other
161014-M-ZZ999-352.JPG,"NBHC-Albany Sailors kickoff birthday with corpsmen's run, reflection on history",https://www.albany.marines.mil/photos?igphoto=2001649335,False,Other
170208-M-ZZ999-370.JPG,Lest ye forget: Black History Program commemorates Buffalo Soldiers' heritage,https://www.albany.marines.mil/photos?igphoto=2001697930,False,Explicit heritage and DEI events
160225-M-ZZ999-370.JPG,"Women Making History: VA podiatrist prescribes ‘head-to-toe' remedies, treatment",https://www.albany.marines.mil/photos?igphoto=2001487055,False,Everyday celebrations of heritage or ethnicity
150325-M-ZZ999-220.JPG,Women's stories are ‘fabric of nation's history',https://www.albany.marines.mil/photos?igphoto=2001027905,False,Facts of history that relate to a specific ethnic group
140311-M-ZZ999-086.JPG,"Luncheon crowd celebrates women's ‘victories, struggles'",https://www.albany.marines.mil/photos?igphoto=2000785427,False,Other
170413-M-XX123-001.JPG,Warren native follows little brother's footsteps to Marine Corps recruit training,https://www.4thmcd.marines.mil/Photos?igphoto=2001732271,False,Other
160309-A-YG824-002.JPG,Raising kids and mentoring Airmen – an Air Guardsman's legacy,https://www.nationalguard.mil/resources/imagegallery/newsimages?igphoto=2001476027,False,Other
140225-D-YA200-018.JPG,"Introducing Dr. Kathryn Morici, NCMI's new director",https://www.dia-old.mil/news/photogallery?igphoto=2000785530,False,Other
210921-F-AF000-1433.JPG,10th anniversary of the repeal of Don't Ask Don't Tell,https://www.af.mil/news/photos?igphoto=2002858910,False,Other
200817-F-ZZ999-555.JPG,Dobbins navigator determined to help Air Force's diversity efforts,https://www.af.mil/news/photos?igphoto=2002481373,False,Mentions of personnel that highlight their ethnicity
210315-Z-NJ935-0003.JPG,First Female CMSAF joins 332nd AEW for Women's History Month,https://www.af.mil/news/photos?igphoto=2002606958,False,Explicit heritage and DEI events
210319-F-RA633-1016.JPG,SFS Airmen reflect on women's influence in the Air Force,https://www.af.mil/news/photos?igphoto=2002611921,False,Everyday celebrations of heritage or ethnicity
180419-F-LO365-4001.JPG,"Higher, further, faster: ‘Captain Marvel' embodies the warrior ethos",https://www.af.mil/news/photos?igphoto=2002098517,False,Other
210317-F-HH110-0002.JPG,437th AW conducts all-female flights for Women's History Month,https://www.af.mil/news/photos?igphoto=2002605641,False,Explicit heritage and DEI events
210922-F-LE393-0162.JPG,"It's All About People panel focuses on diversity, inclusion, respect",https://www.af.mil/news/photos?igphoto=2002859694,False,Explicit heritage and DEI events
220301-F-HR740-1002.PNG,DAF hosts 2nd annual Women's Air and Space Power Symposium,https://www.af.mil/news/photos?igphoto=2002947123,False,Other
200817-F-ZZ999-500.JPG,Dobbins ARB navigator helps Air Force's diversity efforts,https://www.af.mil/news/photos?igphoto=2002489142,False,Mentions of personnel that highlight their ethnicity
210707-F-VZ160-1002.JPG,Childhood adversity drives Airman's passion for diversity & inclusion,https://www.af.mil/news/photos?igphoto=2002812392,False,Explicit heritage and DEI events
210625-F-OI201-1015.JPG,"Altus ‘Diversity and Inclusion' group targets education, discourse",https://www.af.mil/news/photos?igphoto=2002812205,False,Explicit heritage and DEI events
200429-F-NQ744-0004.JPG,First-Ever Air Force Women's Fly-In Goes Virtual May 11,https://www.af.mil/news/photos?igphoto=2002291461,False,Other
230324-F-F3707-1001.JPG,Celebrating National Women's History Month in the 3rd Wing,https://www.pacaf.af.mil/News/Art?igphoto=2003187528,False,Explicit heritage and DEI events
210308-F-BX159-0003.JPG,Wolf Pack celebrates Women's History Month: MWD edition,https://www.pacaf.af.mil/News/Art?igphoto=2002595943,False,Explicit heritage and DEI events
210330-F-SQ280-071.JPG,Wolf Pack celebrates Women's History Month: officer edition,https://www.pacaf.af.mil/News/Art?igphoto=2002612975,False,Explicit heritage and DEI events
